

Heimspiel;TG Würzburg, TV/DJK Hammelburg II;21.10.2023;21.10.2023;14:00:00;;;ja;Halle;;;Spieler müssen zusagen;;24;168;

Auswärts;TSV Großheubach, DJK Waldbüttelbrunn, TV Mömlingen II, TSV Wonfurt;11.11.2023;11.11.2023;14:00:00;;;nein;Halle;;;Spieler müssen zusagen;;24;168;



Auswärts;TV Mömlingen II;25.11.2023;25.11.2023;14:00:00;;;nein;Halle;;;Spieler müssen zusagen;;24;168;
Auswärts;TV/DJK Hammelburg II, TV Mömlingen II;02.12.2023;02.12.2023;14:00:00;;;nein;Halle;;;Spieler müssen zusagen;;24;168;



Auswärts;TUS Frammersbach, TG Würzburg, TV/DJK Hammelburg II, TSV Wonfurt;20.01.2024;20.01.2024;14:00:00;;;ja;Halle;;;Spieler müssen zusagen;;24;168;



Auswärts;TG Würzburg, TSV Großheubach, TV Mömlingen II, DJK Schweinfurt;24.02.2024;24.02.2024;14:00:00;;;nein;Halle;;;Spieler müssen zusagen;;24;168;


Auswärts;TUS Frammersbach, TSV Wonfurt;02.03.2024;02.03.2024;14:00:00;;;nein;Halle;;;Spieler müssen zusagen;;24;168;
Auswärts;TSV Großheubach, DJK Schweinfurt, TV/DJK Hammelburg II, DJK Waldbüttelbrunn;16.03.2024;16.03.2024;14:00:00;;;ja;Halle;;;Spieler müssen zusagen;;24;168;
